Symbol,Company,Bonus (%),Cash (%),Total (%),Announcement Date,Book Closure Date,Fiscal Year
NLG,NLG Insurance Company Limited,15,6.05,21.05,,2015-01-01,2070/2071
SBI,Nepal SBI Bank Limited,15,7,22,,2015-01-01,2070/2071
IDBL,Infrastructure Development Bank Limited,13.7,,13.7,,2015-01-03,2071/2072
CBL,Civil Bank Limited,7,1.5,8.5,,2015-01-06,2070/2071
PFC,Paschimanchal Finance Company Limited,12,6.94,18.94,,2015-01-12,2070/2071
SINDU,Sindhu Bikas Bank Limited,7.5,0.397,7.897,,2015-01-16,2070/2071
BOK,(Former) Bank of Kathmandu Limited,10.42,0.55,10.97,,2015-02-04,2070/2071
CCBL,Century Commercial Bank Limited,6,3.47,9.47,,2015-02-11,2070/2071
LICN,Life Insurance Corporation Nepal Limited,30,,30,,2015-02-13,2070/2071
SICL,Shikhar Insurance Company Limited,20,1.05,21.05,,2015-02-20,2070/2071
REDBL,Reliable Development Bank Limited,5,,5,,2015-02-20,2070/2071
MTBL,Matribhumi Bikas Bank Limited,10,5,15,,2015-02-23,2070/2071
LGIL,Lumbini General Insurance Limited,10.53,,10.53,,2015-02-23,2070/2071
KRBL,Karnali Development Bank Limited,25,,25,,2015-03-04,2070/2071
STC,Salt Trading Corporation Limited,10,10,20,,2015-03-09,2070/2071
INDBL,International Development Bank Limited,10,10,20,,2015-03-17,2070/2071
HGI,Himalayan General Insurance Company Limited,7,3.25,10.25,,2015-03-25,2070/2071
PDBL,Paschimanchal Development Bank Limited,10,10.53,20.53,,2015-03-26,2071/2072
NTC,Nepal Doorsanchar Company Limited,0,47,47,,2015-03-26,2070/2071
SADBL,Shangrila Development Bank Limited,15,6.3,21.3,,2015-03-28,2070/2071
MDBL,Malika Bikash Bank Limited,5,,5,,2015-03-29,2070/2071
SHBL,Sahara Bikas Bank Limited,18,,18,,2015-03-29,2070/2071
JBBL,Jyoti Bikash Bank Limited,7,,7,,2015-04-12,2070/2071
ADBL,Agricultural Development Bank Limited,7,8,15,,2015-04-19,2070/2071
NLICL,National Life Insurance Company Limited,30,8,38,,2015-04-24,2070/2071
ALICL,Asian Life Insurance Company Limited,28.5,1.5,30,,2015-05-24,2070/2071
WDBL,Western Development Bank Limited,20,1.053,21.053,,2015-05-26,2070/2071
NLIC,Nepal Life Insurance Company Limited,60,8,68,,2015-05-26,2070/2071
GUFL,Gurkhas Finance Limited,7,,7,,2015-05-27,2071/2072
CNDBL,Country Development Bank Limited,4,12,16,,2015-05-28,2070/2071
KFL,Kathmandu Finance Limited.,7,0.3684,7.36,,2015-05-28,2071/2072
SIL,Siddhartha Insurance Limited,10,0.52,10.52,,2015-06-17,2070/2071
NCCB,Nepal Credit and Commerce Bank Limited,38,2,40,,2015-07-01,2070/2071
SIC,Sagarmatha Insurance Company Limited,15,0.79,15.79,,2015-07-01,2070/2071
PIC,Premier Insurance Company (Nepal) Limited,14,,14,,2015-07-02,2070/2071
CDBL,City Development Bank Limited,19.25,1.01,20.26,,2015-07-15,2071/2072
OFL,Om Finance Limited,27.07,1.42,28.49,,2015-07-15,2071/2072
KAFIL,Kaski Finance Limited,17.26,0.91,18.17,,2015-08-03,2071/2072
AHPC,Arun Valley Hydropower Development Company Limited,0,11,11,,2015-08-27,2071/2072
NBF1,Nabil Balanced Fund-1,0,14,14,,2015-08-31,2071/2072
EKBL,Ekata Bikash Bank Limited,13.87,,13.87,,2015-09-08,2071/2072
SIGS1,Siddhartha Investment Growth Scheme-1,0,15,15,,2015-09-09,2071/2072
UNL,Unilever Nepal Limited,0,990,990,,2015-09-13,2071/2072
NIL,Neco Insurance Limited,12.71,0.67,13.38,,2015-09-17,2070/2071
TNBL,Tinau Development Bank Limited,18,0.94,18.94,,2015-09-21,2071/2072
SIFC,Shree Investment Finance Company Limited,11.61,0.61,12.22,,2015-09-23,2071/2072
CZBIL,Citizens Bank International Limited,20,1.05,21.05,,2015-09-28,2071/2072
SANIMA,Sanima Bank Limited,20,1.05,21.05,,2015-10-01,2071/2072
EFL,Everest Finance Limited,14,,14,,2015-10-01,2071/2072
RHPC,Ridi Hydropower Development Company Limited,0,10.526,10.526,,2015-10-01,2071/2072
NCDB,Nepal Community Development Bank Limited,9.5,0.5,10,,2015-10-02,2071/2072
KBBL,Kailash Bikas Bank Limited,24,,24,,2015-10-02,2071/2072
KMBL,Kamana Bikas Bank Limited,22.6,1.19,23.79,,2015-10-02,2071/2072
SHINE,Shine Resunga Development Bank Limited,27,1.42,28.42,,2015-10-12,2071/2072
NICL,Nepal Insurance Company Limited,9,0.47,9.47,,2015-10-12,2070/2071
NNFC,Narayani National Finance Company Limited,18,7,25,,2015-10-15,2071/2072
JBBL,Jyoti Bikash Bank Limited,9,,9,,2015-10-19,2071/2072
PFL,Pokhara Finance Limited,48.5,2.55,51.05,,2015-10-25,2071/2072
JFL,Janaki Finance Company Limited,25,,25,,2015-10-27,2071/2072
SRBL,Sunrise Bank Limited,21.5,1.13,22.63,,2015-10-28,2071/2072
GBIME,Global IME Bank Limited,23,,23,,2015-10-29,2071/2072
NIBPO,Nepal Investment Bank Limited Promoter Share,33,1.74,34.74,,2015-10-30,2071/2072
NIB,Nepal Investment Bank Limited,33,1.74,34.74,,2015-10-30,2071/2072
SINDU,Sindhu Bikas Bank Limited,12.5,0.66,13.16,,2015-10-30,2071/2072
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,15,0.79,15.79,,2015-11-01,2071/2072
GDBL,Gandaki Bikas Bank Limited,23,1.21,24.21,,2015-11-04,2071/2072
NBB,Nepal Bangladesh Bank Limited,25,1.32,26.32,,2015-11-06,2071/2072
NEFL,Nepal Express Finance Limited,13,,13,,2015-11-09,2071/2072
METRO,Metro Development Bank Limited,16,1,17,,2015-11-10,2071/2072
OHL,Oriental Hotel Limited,20,,20,,2015-11-15,2071/2072
HDL,Himalayan Distillery Limited,0,20,20,,2015-11-17,2071/2072
CSDBL,Cosmos Development Bank Limited,15,0.79,15.79,,2015-11-18,2071/2072
UFL,United Finance Limited,15,0.79,15.79,,2015-11-23,2071/2072
PADBL,Pacific Development Bank Limitied,24,1.26,25.26,,2015-11-23,2071/2072
UFIL,Unique Finance Limited,7,0.036,7.036,,2015-11-24,2071/2072
INDBL,International Development Bank Limited,9.5,0.5,10,,2015-11-28,2071/2072
NCCB,Nepal Credit and Commerce Bank Limited,16,,16,,2015-11-29,2071/2072
EBL,Everest Bank Limited,30,6.57,36.57,,2015-12-01,2071/2072
MFL,Mahalaxmi Finance Limited,15,0.79,15.79,,2015-12-01,2071/2072
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,34.2,1.8,36,,2015-12-01,2071/2072
BPCL,Butwal Power Company Limited,0,20,20,,2015-12-02,2071/2072
PRIN,Prabhu Insurance Company Limited,12,,12,,2015-12-03,2071/2072
KNBL,Kankai Bikas Bank Limited,25,1.315,26.315,,2015-12-03,2071/2072
HAMRO,Hamro Bikas Bank Limited,15,0.79,15.79,,2015-12-03,2071/2072
ARDBL,Araniko Development Bank Limited,10,0.53,10.53,,2015-12-03,2071/2072
HBL,Himalayan Bank Limited,35,7.1,42.1,,2015-12-04,2071/2072
MTBL,Matribhumi Bikas Bank Limited,15,0.78,15.78,,2015-12-04,2071/2072
NABILP,NABIL Bank Limited Promoter Share,30,6.842,36.842,,2015-12-06,2071/2072
CBL,Civil Bank Limited,6.75,0.35,7.1,,2015-12-06,2071/2072
NABIL,Nabil Bank Limited,30,6.842,36.842,,2015-12-06,2071/2072
BUDBL,Business Universal Development Bank Limited,13,0.68,13.68,,2015-12-06,2071/2072
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,48.81,13.1,61.91,,2015-12-09,2071/2072
MMDBL,Mount Makalu Development Bank Limited,30,,30,,2015-12-10,2071/2072
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,40,12.7,52.7,,2015-12-11,2071/2072
KADBL,Kanchan Development Bank Limited,25,1.31,26.31,,2015-12-11,2071/2072
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,50,2.63,52.63,,2015-12-13,2071/2072
MBBL,Mahakali Bikas Bank Limited,17,,17,,2015-12-16,2071/2072
SBL,Siddhartha Bank Limited,20,1.05,21.05,,2015-12-16,2071/2072
SHL,Soaltee Hotel Limited,25,6.57,31.57,,2015-12-16,2071/2072
CHCL,Chilime Hydro power Company Limited,15,12,27,,2015-12-18,2071/2072
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,42,10.63,52.63,,2015-12-20,2071/2072
MDB,Miteri Development Bank Limited,30,1.58,31.58,,2015-12-21,2071/2072
GILB,Global IME Laghubitta Bittiya Sanstha Limited,13,0.68,13.68,,2015-12-22,2071/2072
ACEDBL,Ace Development Bank Limited,13,,13,,2015-12-23,2071/2072
SBBLJ,Sahayogi Vikas Bank Limited,28,1.47,29.47,,2015-12-24,2071/2072
NLO,Nepal Lube Oil Limited,0,10,10,,2015-12-24,2071/2072
LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,10,0.53,10.53,,2015-12-25,2071/2072
MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,20,,20,,2015-12-25,2071/2072
LUBL,Lumbini Bank Limited,15,,15,,2015-12-27,2071/2072
RMDC,RMDC Laghubitta Bittiya Sanstha Limited,10,16.32,26.32,,2015-12-27,2071/2072
NBSL,Namaste Bittiya Sanstha Limited,20,1,21,,2015-12-27,2071/2072
TBBL,Triveni Bikas Bank Limited,10,0.53,10.53,,2015-12-28,2071/2072
SEWA,Sewa Bikas Bank Limited,18,,18,,2015-12-28,2071/2072
EFL,Everest Finance Limited,14.5,,14.5,,2015-12-28,2072/2073
BNT,Bottlers Nepal (Terai) Limited,0,25,25,,2015-12-28,2071/2072
MNBBL,Muktinath Bikas Bank Limited,31,1.63,32.63,,2015-12-28,2071/2072
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,25,1.31,26.31,,2015-12-28,2071/2072
PURBL,Purnima Bikas Bank Limited,23.27,1.22,24.49,,2015-12-29,2071/2072
